"id","symbol","en","tr"
"try","₺","Turkish Lira","Türk Lirası"
"usd","$","American Dollar","Amerikan Doları"
"eur","€","Euro","Avro"
"gbp","£","British Pound	","İngiliz Sterlini"
"azn","₼","Azerbaijani New Manat	","Azerbaycan Manatı"
"bgn","лв","Bulgarian Lev","Bulgar Levası"
"qar","﷼","Qatari Riyal	","Katar Riyali"
"cny","¥","Chinese Yuan Renminbi	","Çin Yuanı"
"chf","CHF","Swiss Franc","İsviçre Frangı	"
"gel","GEL","Georgian Lari","Gürcistan Larisi"
"kzt","лв","Kazakhstani Tenge","Kazakistan Tengesi"
"sar","﷼","Saudi Arabian Riyal","Suudi Arabistan Riyali"
"nok","kr","Norwegian Krone","Norveç Kronu"
"dkk","kr","Danish Krone","Danimarka Kronu"
"aud","$","Australian Dollar","Avustralya Doları"
"cad","$","Canadian Dollar","Kanada Doları"
"kwd","د.ك","Kuwaiti Dinar","Kuveyt Dinarı"
"irr","﷼","Iranian Rial","İran Riyali"
